"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Jon Gray",5700,"SF@Col 08:40PM ET",14.586,"Col"
"RP","Jesse Chavez",5600,"Bos@Tor 07:07PM ET",2.375,"Tor"
"SP","Yovani Gallardo",5600,"Bal@Cle 07:10PM ET",4.125,"Bal"
"SP","Felix Doubront",5600,"Det@Oak 10:05PM ET",0,"Oak"
"SP","Dallas Keuchel",5600,"Hou@LAA 10:05PM ET",11.225,"Hou"
"SP","Tyler Cravy",5600,"Cin@Mil 08:10PM ET",2.692,"Mil"
"SP","Michael Lorenzen",5600,"Cin@Mil 08:10PM ET",0,"Cin"
"SP","Chris Young",5500,"CWS@KC 08:15PM ET",8.764,"KC"
"SP","Ricky Nolasco",5500,"Min@Sea 10:10PM ET",11.822,"Min"
"SP","Scott Feldman",5500,"Hou@LAA 10:05PM ET",6.663,"Hou"
"3B","Nolan Arenado",5500,"SF@Col 08:40PM ET",9.696,"Col"
"1B","Paul Goldschmidt",5500,"SD@Ari 09:40PM ET",8.667,"Ari"
"RP","A.J. Cole",5500,"StL@Was 07:05PM ET",0,"Was"
"1B","Miguel Cabrera",5400,"Det@Oak 10:05PM ET",9.261,"Det"
"SS","Brandon Crawford",5400,"SF@Col 08:40PM ET",7.255,"SF"
"SP","Tyler Chatwood",5400,"SF@Col 08:40PM ET",15.500,"Col"
"SP","Cesar Vargas",5400,"SD@Ari 09:40PM ET",12.225,"SD"
"SS","Trevor Story",5400,"SF@Col 08:40PM ET",10.227,"Col"
"SP","Phil Hughes",5300,"Min@Sea 10:10PM ET",7.956,"Min"
"SP","Mat Latos",5300,"CWS@KC 08:15PM ET",11.217,"CWS"
"SP","Juan Nicasio",5300,"Pit@Tex 08:05PM ET",15.056,"Pit"
"C","Buster Posey",5300,"SF@Col 08:40PM ET",6.860,"SF"
"SP","Tim Melville",5300,"Cin@Mil 08:10PM ET",-0.450,"Cin"
"SP","Tim Adleman",5300,"Cin@Mil 08:10PM ET",11.675,"Cin"
"SP","Marco Gonzales",5300,"StL@Was 07:05PM ET",0,"StL"
"SP","Michael Wacha",5300,"StL@Was 07:05PM ET",11.370,"StL"
"SP","Alfredo Simon",5200,"Cin@Mil 08:10PM ET",0.817,"Cin"
"OF","Denard Span",5200,"SF@Col 08:40PM ET",7.149,"SF"
"OF","Hunter Pence",5200,"SF@Col 08:40PM ET",8.109,"SF"
"SP","Logan Verrett",5200,"LAD@NYM 07:10PM ET",4.932,"NYM"
"SP","Jorge De La Rosa",5100,"SF@Col 08:40PM ET",3.508,"Col"
"OF","Ian Desmond",5100,"Pit@Tex 08:05PM ET",9.239,"Tex"
"OF","Ryan Braun",5100,"Cin@Mil 08:10PM ET",9.825,"Mil"
"SP","Eric Surkamp",5100,"Det@Oak 10:05PM ET",2.780,"Oak"
