"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16721-61246","D","Colton","Parayko","9.333333333333334","6","4700","CGY@STL","STL","CGY","","","",""
"16721-37968","W","Jonathan","Marchessault","19.23999938964844","5","4700","FLA@PIT","FLA","PIT","","","",""
"16721-15357","W","Carl","Hagelin","2.133333365122477","6","4700","FLA@PIT","PIT","FLA","","","",""
"16721-8709","D","Alexander","Edler","13.016666412353516","6","4700","OTT@VAN","VAN","OTT","","","",""
"16721-54743","C","Alexander","Wennberg","14.175000190734863","4","4700","CLS@LA","CLS","LA","","","",""
"16721-12843","C","Adam","Henrique","4.479999923706055","5","4700","ARI@NJ","NJ","ARI","","","",""
"16721-11122","C","Nick","Bonino","7.549999872843425","6","4700","FLA@PIT","PIT","FLA","","","",""
"16721-39269","C","Erik","Haula","7.800000190734863","4","4700","MIN@BOS","MIN","BOS","DTD","Lower body","",""
"16721-8186","D","Zdeno","Chara","8.480000305175782","5","4700","MIN@BOS","BOS","MIN","","","",""
"16721-8201","W","Clarke","MacArthur","2","4","4700","OTT@VAN","OTT","VAN","IR","Concussion","",""
"16721-8384","W","Michael","Frolik","12.466667175292969","6","4700","CGY@STL","CGY","STL","","","",""
"16721-23041","W","Mikael","Granlund","5.866666793823242","6","4700","MIN@BOS","MIN","BOS","","","",""
"16721-8520","W","Ryan","Callahan","8.619178249411387","73","4700","TB@TOR","TB","TOR","O","Hip","",""
"16721-8562","W","Scott","Hartnell","8.199999809265137","4","4700","CLS@LA","CLS","LA","","","",""
"16721-8598","W","Chris","Kunitz","6.400000254313151","6","4700","FLA@PIT","PIT","FLA","","","",""
"16721-8611","D","Alex","Goligoski","10.759999847412109","5","4700","ARI@NJ","ARI","NJ","","","",""
"16721-8811","W","Jannik","Hansen","7.066666920979817","6","4600","OTT@VAN","VAN","OTT","","","",""
"16721-9006","W","Tyler","Ennis","5.599999904632568","4","4600","BUF@PHI","BUF","PHI","","","",""
"16721-8362","W","Ales","Hemsky","1.600000023841858","1","4600","WPG@DAL","DAL","WPG","IR","Groin","",""
"16721-68640","D","Zach","Werenski","19.575000762939453","4","4600","CLS@LA","CLS","LA","","","",""
"16721-8515","C","Brandon","Dubinsky","5.599999904632568","4","4600","CLS@LA","CLS","LA","","","",""
"16721-43120","W","Anthony","Duclair","2.2399999618530275","5","4600","ARI@NJ","ARI","NJ","","","",""
"16721-8683","W","Lee","Stempniak","16.1","5","4600","CAR@DET","CAR","DET","","","",""
"16721-8583","W","Radim","Vrbata","15.839999389648437","5","4600","ARI@NJ","ARI","NJ","","","",""
"16721-12812","D","Jared","Spurgeon","9.399999618530273","4","4500","MIN@BOS","MIN","BOS","DTD","Upper body","",""
"16721-8967","D","Alec","Martinez","14.019999694824218","5","4500","CLS@LA","LA","CLS","","","",""
"16721-58883","W","Robby","Fabbri","7.816666920979817","6","4500","CGY@STL","STL","CGY","","","",""
"16721-9305","C","Mathieu","Perreault","7.840000152587891","5","4500","WPG@DAL","WPG","DAL","","","",""
"16721-8237","C","Brandon","Sutter","13.016666412353516","6","4500","OTT@VAN","VAN","OTT","","","",""
"16721-8442","W","Brian","Gionta","11.199999809265137","4","4500","BUF@PHI","BUF","PHI","","","",""
"16721-39464","D","Hampus","Lindholm","8.698750305175782","80","4500","ANH@SJ","ANH","SJ","","","",""
"16721-12728","W","Nino","Niederreiter","7.599999745686849","6","4500","MIN@BOS","MIN","BOS","","","",""
"16721-8340","C","Darren","Helm","12.699999491373697","6","4500","CAR@DET","DET","CAR","","","",""
"16721-8538","W","Milan","Michalek","8.8","5","4500","TB@TOR","TOR","TB","","","",""
"16721-23225","D","Matt","Dumba","9.283333460489908","6","4500","MIN@BOS","MIN","BOS","","","",""
"16721-12460","D","Cam","Fowler","14.25","6","4500","ANH@SJ","ANH","SJ","","","",""
"16721-13932","W","Matt","Read","18.18000030517578","5","4400","BUF@PHI","PHI","BUF","","","",""
"16721-66683","W","Mitchell","Marner","12.960000610351562","5","4400","TB@TOR","TOR","TB","","","",""
"16721-9325","W","Patrick","Eaves","7.324999809265137","4","4400","WPG@DAL","DAL","WPG","DTD","Lower body","",""
"16721-8341","W","Justin","Abdelkader","5.05999984741211","5","4400","CAR@DET","DET","CAR","","","",""
"16721-8628","D","Marc-Edouard","Vlasic","5.416666666666667","6","4400","ANH@SJ","SJ","ANH","","","",""
"16721-9058","W","Matt","Beleskey","2.2399999618530275","5","4300","MIN@BOS","BOS","MIN","","","",""
